id,movie_title,year,actor_1_name,actor_2_name,actor_3_name,director_name,genres,comb
19995,avatar,2009.0,CCH Pounder,Joel David Moore,Wes Studi,James Cameron,Action Adventure Fantasy Sci-Fi,CCH Pounder Joel David Moore Wes Studi James Cameron Action Adventure Fantasy Sci-Fi
285,pirates of the caribbean: at world's end,2007.0,Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,Action Adventure Fantasy,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy
206647,spectre,2015.0,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Sam Mendes,Action Adventure Thriller,Christoph Waltz Rory Kinnear Stephanie Sigman Sam Mendes Action Adventure Thriller
49026,the dark knight rises,2012.0,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Christopher Nolan,Action Thriller,Tom Hardy Christian Bale Joseph Gordon-Levitt Christopher Nolan Action Thriller
140607,star wars: episode vii - the force awakens,,Doug Walker,Rob Walker,unknown,Doug Walker,Documentary,Doug Walker Rob Walker unknown Doug Walker Documentary
49529,john carter,2012.0,Daryl Sabara,Samantha Morton,Polly Walker,Andrew Stanton,Action Adventure Sci-Fi,Daryl Sabara Samantha Morton Polly Walker Andrew Stanton Action Adventure Sci-Fi
38757,tangled,2010.0,Brad Garrett,Donna Murphy,M.C. Gainey,Nathan Greno,Adventure Animation Comedy Family Fantasy Musical Romance,Brad Garrett Donna Murphy M.C. Gainey Nathan Greno Adventure Animation Comedy Family Fantasy Musical Romance
99861,avengers: age of ultron,2015.0,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,Action Adventure Sci-Fi,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action Adventure Sci-Fi
767,harry potter and the half-blood prince,2009.0,Alan Rickman,Daniel Radcliffe,Rupert Grint,David Yates,Adventure Family Fantasy Mystery,Alan Rickman Daniel Radcliffe Rupert Grint David Yates Adventure Family Fantasy Mystery
209112,batman v superman: dawn of justice,2016.0,Henry Cavill,Lauren Cohan,Alan D. Purwin,Zack Snyder,Action Adventure Sci-Fi,Henry Cavill Lauren Cohan Alan D. Purwin Zack Snyder Action Adventure Sci-Fi
1452,superman returns,2006.0,Kevin Spacey,Marlon Brando,Frank Langella,Bryan Singer,Action Adventure Sci-Fi,Kevin Spacey Marlon Brando Frank Langella Bryan Singer Action Adventure Sci-Fi
10764,quantum of solace,2008.0,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Marc Forster,Action Adventure,Giancarlo Giannini Mathieu Amalric Rory Kinnear Marc Forster Action Adventure
58,pirates of the caribbean: dead man's chest,2006.0,Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,Action Adventure Fantasy,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy
57201,the lone ranger,2013.0,Johnny Depp,Ruth Wilson,Tom Wilkinson,Gore Verbinski,Action Adventure Western,Johnny Depp Ruth Wilson Tom Wilkinson Gore Verbinski Action Adventure Western
49521,man of steel,2013.0,Henry Cavill,Christopher Meloni,Harry Lennix,Zack Snyder,Action Adventure Fantasy Sci-Fi,Henry Cavill Christopher Meloni Harry Lennix Zack Snyder Action Adventure Fantasy Sci-Fi
2454,the chronicles of narnia: prince caspian,2008.0,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Andrew Adamson,Action Adventure Family Fantasy,Peter Dinklage Pierfrancesco Favino Damián Alcázar Andrew Adamson Action Adventure Family Fantasy
1865,pirates of the caribbean: on stranger tides,2011.0,Johnny Depp,Sam Claflin,Stephen Graham,Rob Marshall,Action Adventure Fantasy,Johnny Depp Sam Claflin Stephen Graham Rob Marshall Action Adventure Fantasy
41154,men in black 3,2012.0,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Barry Sonnenfeld,Action Adventure Comedy Family Fantasy Sci-Fi,Will Smith Michael Stuhlbarg Nicole Scherzinger Barry Sonnenfeld Action Adventure Comedy Family Fantasy Sci-Fi
122917,the hobbit: the battle of the five armies,2014.0,Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,Adventure Fantasy,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
1930,the amazing spider-man,2012.0,Emma Stone,Andrew Garfield,Chris Zylka,Marc Webb,Action Adventure Fantasy,Emma Stone Andrew Garfield Chris Zylka Marc Webb Action Adventure Fantasy
20662,robin hood,2010.0,Mark Addy,William Hurt,Scott Grimes,Ridley Scott,Action Adventure Drama History,Mark Addy William Hurt Scott Grimes Ridley Scott Action Adventure Drama History
57158,the hobbit: the desolation of smaug,2013.0,Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,Adventure Fantasy,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
2268,the golden compass,2007.0,Christopher Lee,Eva Green,Kristin Scott Thomas,Chris Weitz,Adventure Family Fantasy,Christopher Lee Eva Green Kristin Scott Thomas Chris Weitz Adventure Family Fantasy
597,titanic,1997.0,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,James Cameron,Drama Romance,Leonardo DiCaprio Kate Winslet Gloria Stuart James Cameron Drama Romance
271110,captain america: civil war,2016.0,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Anthony Russo,Action Adventure Sci-Fi,Robert Downey Jr. Scarlett Johansson Chris Evans Anthony Russo Action Adventure Sci-Fi
44833,battleship,2012.0,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Peter Berg,Action Adventure Sci-Fi Thriller,Liam Neeson Alexander Skarsgård Tadanobu Asano Peter Berg Action Adventure Sci-Fi Thriller
135397,jurassic world,2015.0,Bryce Dallas Howard,Judy Greer,Omar Sy,Colin Trevorrow,Action Adventure Sci-Fi Thriller,Bryce Dallas Howard Judy Greer Omar Sy Colin Trevorrow Action Adventure Sci-Fi Thriller
558,spider-man 2,2004.0,J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,Action Adventure Fantasy Romance,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action Adventure Fantasy Romance
68721,iron man 3,2013.0,Robert Downey Jr.,Jon Favreau,Don Cheadle,Shane Black,Action Adventure Sci-Fi,Robert Downey Jr. Jon Favreau Don Cheadle Shane Black Action Adventure Sci-Fi
36668,x-men: the last stand,2006.0,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Brett Ratner,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman Kelsey Grammer Daniel Cudmore Brett Ratner Action Adventure Fantasy Sci-Fi Thriller
62211,monsters university,2013.0,Steve Buscemi,Tyler Labine,Sean Hayes,Dan Scanlon,Adventure Animation Comedy Family Fantasy,Steve Buscemi Tyler Labine Sean Hayes Dan Scanlon Adventure Animation Comedy Family Fantasy
8373,transformers: revenge of the fallen,2009.0,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Michael Bay,Action Adventure Sci-Fi,Glenn Morshower Kevin Dunn Ramon Rodriguez Michael Bay Action Adventure Sci-Fi
91314,transformers: age of extinction,2014.0,Bingbing Li,Sophia Myles,Kelsey Grammer,Michael Bay,Action Adventure Sci-Fi,Bingbing Li Sophia Myles Kelsey Grammer Michael Bay Action Adventure Sci-Fi
102382,the amazing spider-man 2,2014.0,Emma Stone,Andrew Garfield,B.J. Novak,Marc Webb,Action Adventure Fantasy Sci-Fi,Emma Stone Andrew Garfield B.J. Novak Marc Webb Action Adventure Fantasy Sci-Fi
